taxon,rho,pval,padj,sig,dir,func_guild,in_ml_top_taxa,colour_cat,label_set
Species|Lactobacillus paragasseri,-0.12487100103199174,0.62152591689147,0.7395530607052035,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Hoylesella buccalis,0.12280701754385964,0.6273461454239679,0.7449735476909619,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|uncultured Muribaculaceae bacterium,-0.12074303405572756,0.6331873816566358,0.7488902967786315,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Alistipes sp. dk3624,-0.12074303405572756,0.6331873816566358,0.7488902967786315,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Vicinamibacterales bacterium,0.11867905056759546,0.6390493358496443,0.7543087351010831,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Petrimonas mucosa,0.11661506707946337,0.6449317151979073,0.7597295605031347,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Alistipes indistinctus,-0.11455108359133127,0.6508342238705324,0.7636282029078557,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Lachnospiraceae bacterium KM106-2,-0.11455108359133127,0.6508342238705324,0.7636282029078557,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Genus|Muribaculum,-0.11248710010319918,0.6567565630509017,0.767519078644805,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Candidatus Gastranaerophilales bacterium,0.11248710010319918,0.6567565630509027,0.767519078644805,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Family|Streptomycetaceae,0.11042311661506708,0.6626984309773882,0.7729294571201617,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Alistipes sp. i18-0019-D1,-0.1021671826625387,0.6866550541678014,0.796141391544951,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Bacillus mycoides,-0.1021671826625387,0.6866550541678014,0.796141391544951,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Bifidobacterium pseudolongum,0.1021671826625387,0.6866550541678016,0.796141391544951,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|uncultured Latescibacterota bacterium,-0.1001031991744066,0.6926899392518375,0.7999889690575143,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Clostridium butyricum,0.1001031991744066,0.6926899392518375,0.7999889690575143,FALSE,Dysbiosis-promoting,Butyrate guild,FALSE,Butyrate guild,NA
Phylum|Candidatus Saccharimonadota,-0.09803921568627451,0.6987424830235269,0.8053998483382728,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Streptococcus sanguinis,0.09597523219814241,0.7048123642968973,0.807654635351892,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Class|Coriobacteriia,-0.09597523219814241,0.7048123642968973,0.807654635351892,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Family|Coriobacteriaceae,-0.09597523219814241,0.7048123642968973,0.807654635351892,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Prevotella sp. CAG:755,0.09391124871001032,0.7108992592881785,0.8114722165130577,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Genus|Paraprevotella,-0.09391124871001032,0.7108992592881795,0.8114722165130577,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Genus|Eggerthella,-0.09184726522187822,0.717002841661774,0.8168562354715375,FALSE,Dysbiosis-protecting,SecBileAcid,FALSE,SecBileAcid,NA
Species|Lactobacillus acidophilus,0.08565531475748195,0.7354104124232371,0.8345987146768529,FALSE,Dysbiosis-promoting,Acetate guild,FALSE,Acetate guild,NA
Species|Priestia megaterium,0.08565531475748195,0.7354104124232371,0.8345987146768529,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|uncultured Porphyromonadaceae bacterium,0.08359133126934984,0.7415774315720882,0.8367607417547126,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Helicobacter pullorum,-0.08359133126934984,0.741577431572088,0.8367607417547126,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|uncultured Atopobiaceae bacterium,-0.08359133126934984,0.741577431572088,0.8367607417547126,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Clostridium sp.,-0.08152734778121776,0.7477594697936525,0.8405158925733995,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|uncultured Helicobacter sp.,0.08152734778121776,0.7477594697936525,0.8405158925733995,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Flavobacteriales bacterium,0.07946336429308565,0.7539561864360347,0.8410609731265614,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Clostridium beijerinckii,0.07946336429308565,0.7539561864360347,0.8410609731265614,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Genus|Bifidobacterium,0.07946336429308565,0.7539561864360347,0.8410609731265614,FALSE,Dysbiosis-promoting,Acetate guild,FALSE,Acetate guild,NA
Genus|Gordonibacter,0.07946336429308565,0.7539561864360347,0.8410609731265614,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Sodaliphilus pleomorphus,-0.07533539731682146,0.7663922813478398,0.8517076485167503,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Hoylesella enoeca,0.07533539731682146,0.7663922813478388,0.8517076485167503,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Ruminococcus callidus,-0.07327141382868937,0.7726309674360763,0.8554128568042274,FALSE,Dysbiosis-protecting,IBD-depleted,FALSE,IBD-depleted,NA
Species|Clostridium sp. MD294,-0.07327141382868937,0.7726309674360763,0.8554128568042274,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Limosilactobacillus reuteri,0.07120743034055727,0.7788829476841137,0.8591049741309793,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
