taxon,loading_comp1,loading_comp2,abs_loading_comp1,abs_loading_comp2,selected_comp1,selected_comp2,in_heatmap
Species|Prevotella denticola,0,0,0,0,FALSE,FALSE,FALSE
Species|Prevotella corporis,0,0,0,0,FALSE,FALSE,FALSE
Species|Prevotella melaninogenica,0,0,0,0,FALSE,FALSE,FALSE
Species|Prevotella nigrescens,0,0,0,0,FALSE,FALSE,FALSE
Species|Prevotella multiformis,0,0,0,0,FALSE,FALSE,FALSE
Species|Prevotella jejuni,0,0,0,0,FALSE,FALSE,FALSE
Species|Prevotella bivia,0,0,0,0,FALSE,FALSE,FALSE
Genus|Segatella,0,0,0,0,FALSE,FALSE,FALSE
Species|Segatella copri,0,0,0,0,FALSE,FALSE,FALSE
Species|Segatella hominis,0,0,0,0,FALSE,FALSE,FALSE
Genus|Paraprevotella,0,0,0,0,FALSE,FALSE,FALSE
Species|Paraprevotella clara,0,0,0,0,FALSE,FALSE,FALSE
Species|uncultured Prevotellamassilia sp.,0,0,0,0,FALSE,FALSE,FALSE
Species|Hoylesella enoeca,0,0,0,0,FALSE,FALSE,FALSE
Species|Hoylesella buccalis,0,0,0,0,FALSE,FALSE,FALSE
Species|Xylanibacter ruminicola,0,0,0,0,FALSE,FALSE,FALSE
Species|Pseudoprevotella muciniphila,0,0,0,0,FALSE,FALSE,FALSE
Species|Bacteroidales bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Bacteroidales bacterium SW299,0,0,0,0,FALSE,FALSE,FALSE
Species|uncultured Porphyromonadaceae bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Porphyromonas sp. oral taxon 275,0,0,0,0,FALSE,FALSE,FALSE
Species|Porphyromonas gingivalis,0,0,0,0,FALSE,FALSE,FALSE
Species|Porphyromonadaceae bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Macellibacteroides fermentans,0,0,0,0,FALSE,FALSE,FALSE
Species|uncultured Macellibacteroides sp.,0,0,0,0,FALSE,FALSE,FALSE
Species|Odoribacter splanchnicus,0,-0.20944890475676345,0,0.20944890475676345,FALSE,TRUE,TRUE
Species|Butyricimonas faecihominis,0,0,0,0,FALSE,FALSE,FALSE
Species|Odoribacteraceae bacterium,0,0,0,0,FALSE,FALSE,FALSE
Genus|Barnesiella,0,0,0,0,FALSE,FALSE,FALSE
Species|Barnesiella sp. An22,0,0,0,0,FALSE,FALSE,FALSE
Species|Barnesiella intestinihominis,0,-0.0010624161145347875,0,0.0010624161145347875,FALSE,TRUE,TRUE
Species|uncultured Bacteroidales bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Petrimonas mucosa,0,0,0,0,FALSE,FALSE,FALSE
Species|Dysgonomonadaceae bacterium zrk40,0,0,0,0,FALSE,FALSE,FALSE
Species|Prolixibacteraceae bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|uncultured Draconibacterium sp.,0,0,0,0,FALSE,FALSE,FALSE
Species|uncultured Saccharicrinis sp.,0,0,0,0,FALSE,FALSE,FALSE
Order|Flavobacteriales,0,0,0,0,FALSE,FALSE,FALSE
Family|Flavobacteriaceae,0,0,0,0,FALSE,FALSE,FALSE
Genus|Flavobacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Flavobacteriaceae bacterium,0,0,0,0,FALSE,FALSE,FALSE
Genus|Chryseobacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Flavobacteriales bacterium,0,0,0,0,FALSE,FALSE,FALSE
Order|Cytophagales,0,0,0,0,FALSE,FALSE,FALSE
Genus|Hymenobacter,0,0,0,0,FALSE,FALSE,FALSE
Species|Cyclobacteriaceae bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Sediminibacterium sp.,0,0,0,0,FALSE,FALSE,FALSE
