family_label,group_id,n_samples,mean_relative_abundance,sd_relative_abundance,median_relative_abundance,min_relative_abundance,max_relative_abundance,pooled_total_abundance,top20_rank
Desulfovibrionaceae,opa1floxed_vilcre_tam_d8,6,0.004406613959985245,0.0030027929659713595,0.0030889007567435345,0.0017663612957307948,0.009628114093152004,0.05864864433112421,15
Desulfovibrionaceae,opa1floxed_vilcre_tam_d21,6,0.0018963306199912234,0.0022133757196569626,0.0013594826473349668,0,0.006224066390041493,0.05864864433112421,15
Streptomycetaceae,untreated_opa1floxed_vilcre_d0,6,0.0017938791012622152,3.7991686558847926e-4,0.0016553710787914583,0.0014190317195325543,0.0023932987634623054,0.033164460609766064,16
Streptomycetaceae,opa1floxed_vilcre_tam_d8,6,0.0017172999645917693,7.193201621432181e-4,0.0017179263576780732,9.160445197636605e-4,0.002707907088699001,0.033164460609766064,16
Streptomycetaceae,opa1floxed_vilcre_tam_d21,6,0.0020162310357736933,0.0012422118168660336,0.002125917417539899,0,0.0038035961272475795,0.033164460609766064,16
Pseudomonadaceae,untreated_opa1floxed_vilcre_d0,6,0.001712799518711178,5.038432670810141e-4,0.001710419506516978,9.91604415944999e-4,0.002486943546381497,0.032470859726543636,17
Pseudomonadaceae,opa1floxed_vilcre_tam_d8,6,0.001828561888962577,5.876447243650486e-4,0.0018172032224190232,0.0010534511977282096,0.002575383624852452,0.032470859726543636,17
Pseudomonadaceae,opa1floxed_vilcre_tam_d21,6,0.0018704485467501836,6.603286789751582e-4,0.001894599704191154,0.0010465724751439038,0.0026480575718869745,0.032470859726543636,17
Erysipelotrichaceae,untreated_opa1floxed_vilcre_d0,6,4.169687011838868e-4,2.735583439239305e-4,4.656843621059007e-4,7.977662544874351e-5,7.460830639144492e-4,0.023966330739504892,18
Erysipelotrichaceae,opa1floxed_vilcre_tam_d8,6,0.0026119127469675894,0.002191762261030022,0.0020607699201489974,1.832089039527321e-4,0.005235287038151402,0.023966330739504892,18
Erysipelotrichaceae,opa1floxed_vilcre_tam_d21,6,9.655070084326723e-4,0.0014362467740012418,5.264955369250633e-4,0,0.0038035961272475795,0.023966330739504892,18
Burkholderiaceae,untreated_opa1floxed_vilcre_d0,6,7.87036976014358e-4,2.9580896085382624e-4,8.015885525475589e-4,4.1736227045075126e-4,0.0011439940313354886,0.02060025216412726,19
Burkholderiaceae,opa1floxed_vilcre_tam_d8,6,0.0010109695324792135,5.277513237546757e-4,9.226250924918898e-4,3.664178079054642e-4,0.0017596101786681105,0.02060025216412726,19
Burkholderiaceae,opa1floxed_vilcre_tam_d21,6,0.001635368852194305,0.0018067697107834902,0.0010253976930127851,0,0.004149377593360996,0.02060025216412726,19
Comamonadaceae,untreated_opa1floxed_vilcre_d0,6,0.0010547606183460042,3.878444784966706e-4,0.001016394526343624,6.594752461255829e-4,0.0016753091344236138,0.020140984352580996,20
Comamonadaceae,opa1floxed_vilcre_tam_d8,6,8.52058417783344e-4,6.237597198051368e-4,8.390329399278456e-4,1.832089039527321e-4,0.0018052713924660007,0.020140984352580996,20
Comamonadaceae,opa1floxed_vilcre_tam_d21,6,0.001450011689300818,0.0013053097915090507,0.0012822681510027594,0,0.0038035961272475795,0.020140984352580996,20
Other,untreated_opa1floxed_vilcre_d0,6,0.024434784728987594,0.005523427408920507,0.024109129137150513,0.01844384213657698,0.031484705297189754,0.47266771758961507,NA
Other,opa1floxed_vilcre_tam_d8,6,0.027320079302973588,0.011122707016059996,0.024510417477984364,0.013603261118490358,0.040799133469731616,0.47266771758961507,NA
Other,opa1floxed_vilcre_tam_d21,6,0.027023088899641324,0.010189923090824454,0.027822525060482845,0.008895866038723181,0.04021094264996704,0.47266771758961507,NA
